省份,名称,总面积(平方公里),游客量(万人次)
北京,十三陵,123,493.9
北京,八达岭,55,737.5
北京,石花洞,85,64.4
天津,盘山,106,228.3
河北,苍岩山,63,54
河北,嶂石岩,120,7.8
河北,西柏坡-天桂山,256,780
河北,秦皇岛北戴河,366,823
河北,响堂山,41,10
河北,娲皇宫,132,365.1
河北,太行大峡谷,20,9.8
河北,崆山白云洞,161,86
河北,野三坡,499,275
河北,承德避暑山庄外八庙,564,135
山西,恒山,148,90.3
山西,五老峰,300,13.2
山西,五台山,593,425.2
山西,黄河壶口瀑布,110,31
山西,碛口,145,29
山西,北武当山,88,40
内蒙古,扎兰屯,489,30
辽宁,大连海滨-旅顺口,232,808
辽宁,金石滩,110,500
辽宁,鞍山千山,125,107
辽宁,本溪水洞,45,55.8
辽宁,鸭绿江,824,219
辽宁,青山沟,150,15.3
辽宁,凤凰山,217,52
辽宁,医巫闾山,64,408
辽宁,兴城海滨,47,140
吉林,"""八大部""-净月潭",96,120
吉林,松花湖,550,350
吉林,防川,139,10.4
吉林,仙景台,43,4
黑龙江,太阳岛,88,143
黑龙江,镜泊湖,1726,120
黑龙江,五大连池,1060,103
江苏,南京钟山,36,2422
江苏,太湖,905,4671
江苏,云台山,167,284.6
江苏,蜀岗瘦西湖,12,402
江苏,三山,17,470
浙江,富春江-新安江,1423,283.2
浙江,杭州西湖,59,2652
浙江,雪窦山,380,454
浙江,楠溪江,671,415.1
浙江,百丈漈-飞云湖,137,45.8
浙江,雁荡山,448,668.5
浙江,莫干山,43,24.5
浙江,天姥山,143,261.4
浙江,浣江-五泄,74,150
浙江,双龙,80,83.6
浙江,大红岩,51,46
浙江,方岩,152,79.5
浙江,江郎山,67,29
浙江,普陀山,41,1022.5
浙江,嵊泗列岛,37,272.7
浙江,天台山,132,547
浙江,仙居,158,257
浙江,方山-长屿硐天,26,149.3
浙江,仙都,166,1677
安徽,巢湖,1196,116
安徽,采石,64,58
安徽,天柱山,102,80
安徽,花亭湖,258,38
安徽,黄山,161,274.6
安徽,花山谜窟-渐江,81,19.3
安徽,齐云山,110,25.5
安徽,琅琊山,115,60
安徽,九华山,120,620
安徽,太极洞,22,49
福建,鼓山,50,538
福建,十八重溪,62,14.1
福建,青云山,52,20
福建,海坛,71,141
福建,鼓浪屿-万石山,104,2162.4
福建,湄洲岛,49,267
福建,玉华洞,45,98.6
福建,泰宁,215,33.3
福建,桃源洞-鱗隐石林,29,20
福建,清源山,62,80.5
福建,灵通山,20,15.5
福建,宝山,85,1.8
福建,佛子山,52,5.3
福建,武夷山,79,291.5
福建,冠豸山,123,28.5
福建,鸳鸯溪,66,116.3
福建,福安白云山,69,22.4
福建,太姥山,92,97.1
江西,梅岭-滕王阁,144,300.2
江西,高岭-瑶里,95,279
江西,云居山-柘林湖,655,145
江西,庐山,330,314
江西,仙女湖,195,110
江西,龙虎山,220,650
江西,三百山,138,30.2
江西,武功山,365,25
江西,井冈山,333,859.5
江西,龟峰,97,84.5
江西,二清山,230,807.7
江西,灵山,102,70
江西,神农源,43,18
江西,大茅山,154,67.1
山东,泰山,171,512.6
山东,青岛崂山,489,1449.9
山东,博山,73,390
